Time,BreathingWaveform
20/08/2018 14:00:16.995,7257745
20/08/2018 14:00:17.035,7253503
20/08/2018 14:00:17.075,7239835
20/08/2018 14:00:17.115,7236327
20/08/2018 14:00:17.155,7227581
20/08/2018 14:00:17.195,7218365
20/08/2018 14:00:17.235,7214856
20/08/2018 14:00:17.275,7207106
20/08/2018 14:00:17.315,7205640
20/08/2018 14:00:17.355,7213128
20/08/2018 14:00:17.395,7218260
20/08/2018 14:00:17.435,7206896
20/08/2018 14:00:17.475,7204383
20/08/2018 14:00:17.515,7207420
20/08/2018 14:00:17.555,7208782
20/08/2018 14:00:17.595,7211505
20/08/2018 14:00:17.635,7219779
20/08/2018 14:00:17.675,7224125
20/08/2018 14:00:17.715,7228419
20/08/2018 14:00:17.755,7230723
20/08/2018 14:00:17.795,7231980
20/08/2018 14:00:17.835,7232713
20/08/2018 14:00:17.875,7234546
20/08/2018 14:00:17.915,7234336
20/08/2018 14:00:17.955,7232766
20/08/2018 14:00:17.995,7244758
20/08/2018 14:00:18.035,7270993
20/08/2018 14:00:18.075,7291102
20/08/2018 14:00:18.115,7299062
20/08/2018 14:00:18.155,7297020
20/08/2018 14:00:18.195,7290788
20/08/2018 14:00:18.235,7287175
20/08/2018 14:00:18.275,7280577
20/08/2018 14:00:18.315,7271151
20/08/2018 14:00:18.355,7274659
20/08/2018 14:00:18.395,7291835
20/08/2018 14:00:18.435,7298748
20/08/2018 14:00:18.475,7307441
20/08/2018 14:00:18.515,7307650
20/08/2018 14:00:18.555,7305503
20/08/2018 14:00:18.595,7299743
20/08/2018 14:00:18.635,7295658
20/08/2018 14:00:18.675,7291940
20/08/2018 14:00:18.715,7289688
20/08/2018 14:00:18.755,7288432
20/08/2018 14:00:18.795,7290317
20/08/2018 14:00:18.835,7289060
20/08/2018 14:00:18.875,7288536
20/08/2018 14:00:18.915,7287751
20/08/2018 14:00:18.955,7286127
20/08/2018 14:00:18.995,7280681
20/08/2018 14:00:19.035,7273402
20/08/2018 14:00:19.075,7266752
20/08/2018 14:00:19.115,7269370
20/08/2018 14:00:19.155,7268637
20/08/2018 14:00:19.195,7269370
20/08/2018 14:00:19.235,7267852
20/08/2018 14:00:19.275,7265181
20/08/2018 14:00:19.315,7261882
