Time,BreathingWaveform
20/08/2018 12:04:46.194,6912123
20/08/2018 12:04:46.234,6911285
20/08/2018 12:04:46.274,6909976
20/08/2018 12:04:46.314,6909714
20/08/2018 12:04:46.354,6910343
20/08/2018 12:04:46.394,6911233
20/08/2018 12:04:46.434,6911181
20/08/2018 12:04:46.474,6911547
20/08/2018 12:04:46.514,6909924
20/08/2018 12:04:46.554,6909557
20/08/2018 12:04:46.594,6907986
20/08/2018 12:04:46.634,6907462
20/08/2018 12:04:46.674,6906572
20/08/2018 12:04:46.714,6905944
20/08/2018 12:04:46.754,6905892
20/08/2018 12:04:46.794,6904478
20/08/2018 12:04:46.834,6903849
20/08/2018 12:04:46.874,6903482
20/08/2018 12:04:46.914,6903168
20/08/2018 12:04:46.954,6902435
20/08/2018 12:04:46.994,6901754
20/08/2018 12:04:47.034,6901231
20/08/2018 12:04:47.074,6901702
20/08/2018 12:04:47.114,6901440
20/08/2018 12:04:47.154,6902645
20/08/2018 12:04:47.194,6903430
20/08/2018 12:04:47.234,6904321
20/08/2018 12:04:47.274,6906049
20/08/2018 12:04:47.314,6909557
20/08/2018 12:04:47.354,6913537
20/08/2018 12:04:47.394,6917464
20/08/2018 12:04:47.434,6921549
20/08/2018 12:04:47.474,6924901
20/08/2018 12:04:47.514,6927362
20/08/2018 12:04:47.554,6930766
20/08/2018 12:04:47.594,6933384
20/08/2018 12:04:47.634,6936369
20/08/2018 12:04:47.674,6938149
20/08/2018 12:04:47.714,6939511
20/08/2018 12:04:47.754,6940611
20/08/2018 12:04:47.794,6942234
20/08/2018 12:04:47.834,6945271
20/08/2018 12:04:47.874,6947785
20/08/2018 12:04:47.914,6950194
20/08/2018 12:04:47.954,6950875
20/08/2018 12:04:47.994,6950403
20/08/2018 12:04:48.034,6950089
20/08/2018 12:04:48.074,6950875
20/08/2018 12:04:48.114,6950979
20/08/2018 12:04:48.154,6952603
20/08/2018 12:04:48.194,6952969
20/08/2018 12:04:48.234,6955064
20/08/2018 12:04:48.274,6956740
20/08/2018 12:04:48.314,6960039
20/08/2018 12:04:48.354,6963233
20/08/2018 12:04:48.394,6967423
20/08/2018 12:04:48.434,6971088
20/08/2018 12:04:48.474,6973864
20/08/2018 12:04:48.514,6977687
20/08/2018 12:04:48.554,6980409
20/08/2018 12:04:48.594,6984180
20/08/2018 12:04:48.634,6987741
20/08/2018 12:04:48.674,6990778
20/08/2018 12:04:48.714,6994758
20/08/2018 12:04:48.754,6997848
20/08/2018 12:04:48.794,6999314
20/08/2018 12:04:48.834,6999995
20/08/2018 12:04:48.874,6999209
20/08/2018 12:04:48.914,6998372
20/08/2018 12:04:48.954,6997952
20/08/2018 12:04:48.994,6997586
20/08/2018 12:04:49.034,6995805
20/08/2018 12:04:49.074,6994601
20/08/2018 12:04:49.114,6992297
20/08/2018 12:04:49.154,6990150
20/08/2018 12:04:49.194,6987636
20/08/2018 12:04:49.234,6984023
20/08/2018 12:04:49.274,6978839
20/08/2018 12:04:49.314,6972345
20/08/2018 12:04:49.354,6964333
20/08/2018 12:04:49.394,6960877
20/08/2018 12:04:49.434,6953179
20/08/2018 12:04:49.474,6939511
20/08/2018 12:04:49.514,6927571
20/08/2018 12:04:49.554,6917726
20/08/2018 12:04:49.594,6910238
20/08/2018 12:04:49.634,6905054
20/08/2018 12:04:49.674,6900236
20/08/2018 12:04:49.714,6894685
20/08/2018 12:04:49.754,6889867
20/08/2018 12:04:49.794,6886201
20/08/2018 12:04:49.834,6883217
20/08/2018 12:04:49.874,6880022
20/08/2018 12:04:49.914,6875152
20/08/2018 12:04:49.954,6870020
20/08/2018 12:04:49.994,6865359
20/08/2018 12:04:50.034,6857976
20/08/2018 12:04:50.074,6850906
20/08/2018 12:04:50.114,6844465
20/08/2018 12:04:50.154,6841585
20/08/2018 12:04:50.194,6842527
20/08/2018 12:04:50.234,6841795
20/08/2018 12:04:50.274,6839752
20/08/2018 12:04:50.314,6834253
20/08/2018 12:04:50.354,6826922
20/08/2018 12:04:50.394,6826556
20/08/2018 12:04:50.434,6823571
20/08/2018 12:04:50.474,6823623
20/08/2018 12:04:50.514,6821790
20/08/2018 12:04:50.554,6822471
20/08/2018 12:04:50.594,6820691
20/08/2018 12:04:50.634,6820271
20/08/2018 12:04:50.674,6820219
20/08/2018 12:04:50.714,6819643
20/08/2018 12:04:50.754,6819120
20/08/2018 12:04:50.794,6819696
20/08/2018 12:04:50.834,6818543
20/08/2018 12:04:50.874,6819329
20/08/2018 12:04:50.914,6817863
20/08/2018 12:04:50.954,6817287
20/08/2018 12:04:50.994,6816710
20/08/2018 12:04:51.034,6814406
20/08/2018 12:04:51.074,6814668
20/08/2018 12:04:51.114,6814145
20/08/2018 12:04:51.154,6812521
20/08/2018 12:04:51.194,6811264
20/08/2018 12:04:51.234,6811998
20/08/2018 12:04:51.274,6811683
20/08/2018 12:04:51.314,6811212
20/08/2018 12:04:51.354,6811055
20/08/2018 12:04:51.394,6811369
20/08/2018 12:04:51.434,6811055
20/08/2018 12:04:51.474,6810636
20/08/2018 12:04:51.514,6811003
20/08/2018 12:04:51.554,6810479
20/08/2018 12:04:51.594,6810531
20/08/2018 12:04:51.634,6809903
20/08/2018 12:04:51.674,6809693
20/08/2018 12:04:51.714,6809065
20/08/2018 12:04:51.754,6809484
20/08/2018 12:04:51.794,6809641
20/08/2018 12:04:51.834,6809432
20/08/2018 12:04:51.874,6807965
20/08/2018 12:04:51.914,6808489
20/08/2018 12:04:51.954,6807913
20/08/2018 12:04:51.994,6807546
20/08/2018 12:04:52.034,6805923
20/08/2018 12:04:52.074,6805661
20/08/2018 12:04:52.114,6804771
20/08/2018 12:04:52.154,6804038
20/08/2018 12:04:52.194,6802467
